word,tran,type,frq,exchange
ablation,"n. 腐蚀, 切除, 烧蚀\n[化] 烧蚀",0,18613,s:ablations
ablaze,"a. 着火的,闪亮的,激昂的 ad. 着火,闪耀",7,12758,
able,a.有能力的；出色的,2,275,
able-bodied,"a. 强壮的, 强健的, 熟练的",9,25401,
ablution,n. （宗教的）净礼，沐浴,8,24075,s:ablutions
ably,"adv. 能干地, 精明强干地",0,15433,
abnegate,v. 否认，放弃,8,24491,d:abnegated/i:abnegating/p:abnegated/3:abnegates
abnegation,n. 放弃; 自我牺牲,8,22273,
abnormal,a.不正常的；变态的,3,5567,s:abnormals
abnormality,"n. 反常, 畸形, 变态",9,9855,s:abnormalities
abnormally,"adv. 不正常, 异常, (贬)不同寻常, 不规则, 变态, 反常",9,13183,
aboard,ad.在船(车)上；上船,3,5093,
abode,"n. 住所, 住处\nabide的过去式和过去分词",9,12584,1:pd/0:abide/s:abodes
abolish,n. 废除，消除 v. 废除，取消,3,6903,d:abolished/i:abolishing/p:abolished/3:abolishes
abolition,"n. 废除, 废奴运动\n[医] 禁止, 消失",9,4561,
abolitionist,"n. 废除主义者, 废奴主义者",9,17665,s:abolitionists
abominable,"a. 讨厌的, 令人憎恶的",0,16243,
abominate,v. 痛恨；厌恶,8,24492,p:abominated/3:abominates/i:abominating/d:abominated
abomination,"n. 厌恶, 痛恶, 令人厌恶的事物",9,19333,s:abominations
aboriginal,"a. 原始的,土著的 n. 土著居民,土生生物",7,11279,s:aboriginals
aborigine,"n. 土著, 土著居民, 土人",0,22657,s:aborigines
abort,"vi. 流产, 中途失败\nvt. 使流产, 使失败, 使中止",9,15253,d:aborted/p:aborted/i:aborting/3:aborts
aborted,"a. 流产的, 中途失败的",9,12891,0:abort/1:dp/p:aborted
abortion,n. 1. 流产，小产，堕胎 2. (计划、工程等的)中途失败;中止，中辍的计划,3,4187,s:abortions
abortionist,n. 为人堕胎者\n[医] 堕胎者,0,22527,s:abortionists
abortive,"a. 流产的,堕胎的,失败的",7,10466,
abound,vi. (in)富于; 大量存在; 充满,6,10007,3:abounds/p:abounded/i:abounding/d:abounded
about,prep.关于；在…周围,1,52,
above,prep.在…上面；高于,2,331,
above-average,平均以上; 在一般水准以上,9,25402,
aboveboard,a./adv. 光明正大的（地）,8,25403,
abrade,v. 磨损，磨小,8,23635,d:abraded/p:abraded/i:abrading/3:abrades
abrasion,n. 表面磨损,7,17089,s:abrasions
abrasive,a. 磨损的；生硬粗暴的,8,10716,s:abrasives
abreast,"adv. 并肩地, 并列地",9,11850,
abridge,"vt. 删节,缩短,剥夺",7,22783,d:abridged/i:abridging/p:abridged/3:abridges
abridged,a. 删节的；削减的,0,18517,0:abridge/1:dp/p:abridged/d:abridged
abroad,ad.(在)国外；到处,2,2014,
abrogate,v. 废止，废除,8,22784,d:abrogated/i:abrogating/p:abrogated/3:abrogates
abrogation,"n. 废除, 取消\n[经] 废除, 取消",0,21028,s:abrogations
abrupt,adj. 1. 突然的，出其 不意的 2. 陡峭的  3. 粗鲁的，无礼的,3,7467,
abruptly,"adv. 突然地, 唐突地",9,4554,
ABS,"[计] 绝对, 美国标准局",9,25026,
abscess,n. 脓肿 vi. 形成脓肿,9,19334,s:abscesses
abscission,n. [医]切除，截去；[植]脱离,8,25404,
abscond,v. 潜逃，逃亡,8,21811,p:absconded/d:absconded/i:absconding/3:absconds/s:absconds
absence,n.缺席，不在场；缺乏,3,1459,s:absences
absent,a.不在场的；缺乏的,3,3604,p:absented/i:absenting/d:absented/3:absents
absentee,"n. 不在者, 缺席者, 未到工者",9,13184,s:absentees
absenteeism,n. 旷课，旷工,8,12457,
absently,adv. 心不在焉地,9,11676,
absentmindedly,adv. 茫然地；精神不集中地,0,25405,
absolute,a.绝对的；纯粹的,3,2222,s:absolutes
absolutely,ad.完全地；绝对地,4,1464,
absolution,"n. 免罪, 赦免, 免除\n[法] 免罚, 赦免, 免除",0,17456,
absolutism,"n. 专制主义, 专制政体论, 绝对主义\n[法] 专制主义, 专制政治论, 绝对主义",0,18147,s:absolutisms
absolutist,"n. 专制主义者, 专制政体者, 绝对主义者",0,19032,s:absolutists
absolve,"vt. 宣告……无罪,赦免,免除",7,19742,d:absolved/p:absolved/i:absolving/3:absolves
absorb,vt.吸收；使专心,3,5602,d:absorbed/p:absorbed/3:absorbs/i:absorbing
absorbed,"a. 全神贯注的, 一心一意的\n[机] 被吸收的",0,3759,0:absorb/1:dp/d:absorbed/p:absorbed
absorbent,a. 能吸收的\nn. 吸收剂,0,16244,s:absorbents
absorber,n. 吸收器\n[化] 吸收剂; 消振器; 缓冲器; 吸收器; 吸收体,0,21471,s:absorbers
absorbing,"a. 吸引人的,非常有趣的",7,7661,0:absorb/1:i/i:absorbing
absorption,"n. 吸收, 专心, 全神贯注\n[化] 吸收; 吸收作用",9,4959,s:absorptions
abstain,"vi. 自制,戒绝,弃权,避免",7,13985,p:abstained/i:abstaining/d:abstained/3:abstains
abstemious,a. 有节制的，节俭的（eating & drinking）,8,22048,
abstention,n. 节制,8,15434,s:abstentions
abstentious,a. 节制的,8,25406,
abstinence,"n. 节制,禁欲,戒酒",7,13149,s:abstinences
abstinent,a. 饮食有度的，有节制的，禁欲的,8,25407,
abstract,a.抽象的 n.摘要,3,3009,s:abstracts/d:abstracted/i:abstracting/3:abstracts/p:abstracted
abstracted,"a. 心不在焉的, 出神的, 分离出的",0,13509,1:dp/0:abstract/d:abstracted
abstraction,"n. 抽象化,心不在焉,提炼,抽象派作品",7,7702,s:abstractions
abstractly,adv. 抽象地；理论上地,0,23389,
abstruse,"a. 难解的,深奥的",7,20051,r:abstruser
absurd,adj. 不合理的，荒谬的，可笑的,3,5163,s:absurds
absurdity,"n. 荒谬, 悖理, 荒谬的言行",9,10551,s:absurdities
absurdly,"adv. 荒谬地, 荒唐地, 愚蠢地",9,12075,
abundance,n. 丰富，充裕，大量,5,6398,s:abundances
abundant,a.丰富的；大量的,3,6587,
abundantly,"adv. 大量地, 丰富地",9,12135,
abuse,vt.滥用；虐待 n.滥用,3,2130,d:abused/s:abuses/i:abusing/3:abuses/p:abused
abused,"n. 受虐；滥用, 恶习",9,5832,0:abuse/1:dp/d:abused/p:abused
abuser,n. 滥用者,9,19639,s:abusers
abusive,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的",9,9920,
abut,v. 接界，毗连,8,19743,i:abutting/3:abuts/p:abutted/d:abutted
abysmal,a. 极深的；糟透的,8,16382,
abyss,"n. 深渊, 深邃, 地狱",9,13390,s:abysses
acacia,"n. 洋槐, 刺槐, 阿拉伯树胶\n[化] 阿拉伯胶; 金合欢胶",0,19139,s:acacias
academe,"n. 研究院, 学会(=academy),学术界,学院",0,20052,s:academes
academia,"n. 学术界, 学术生涯",9,15254,
academic,a.学院的；学术的,3,1664,s:academics
academically,adv. 学术上；学业上,9,12159,
academician,"n. 学会会员, 院士, 学究, 大学生, 学者",0,20586,s:academicians
academy,n.私立中学；专科院校,3,4073,s:academies
Acadian,"a. 阿卡迪亚的,阿卡迪亚人的",0,25032,s:acadians
acarpous,a. 不结果实的,8,25408,
accede,v. 同意,8,15492,p:acceded/d:acceded/i:acceding/3:accedes
accelerate,vt.(使)加快；促进,3,7983,p:accelerated/d:accelerated/i:accelerating/3:accelerates
accelerated,a. 加快的\n[医] 加速的,9,6161,0:accelerate/1:pd/p:accelerated/d:accelerated
accelerating,[计] 加速,9,9333,0:accelerate/1:i/i:accelerating
acceleration,n.加速(度),4,6192,s:accelerations
accelerator,"n. 加速剂, 加速器, 油门",9,8985,s:accelerators
accelerometer,n. 加速度计\n[化] 加速度计,0,24841,s:accelerometers
accent,n.口音，腔调；重音,3,4098,s:accents/p:accented/i:accenting/d:accented/3:accents
accented,a. 带…腔调的；带…口音的,0,17379,0:accent/1:pd/p:accented/d:accented
accentuate,"vt. 以重音念,强调,重读",7,15795,d:accentuated/p:accentuated/3:accentuates/i:accentuating
accept,vt.vi.接受；同意,2,908,d:accepted/p:accepted/i:accepting/3:accepts
acceptability,"n. 可接受, 合意, 可忍受",9,9871,
acceptable,a.可接受/合意的,4,2122,
acceptance,n.接受，验收；承认,4,2646,s:acceptances
accepted,"a. 公认的, 一般承认的\n[经] 已承兑, 已认付",9,992,0:accept/1:dp/d:accepted/p:accepted
access,n.接近；通道，入口,3,797,d:accessed/i:accessing/3:accesses/s:accesses/p:accessed
accessibility,"n. 易接近, 可进入; 可达性; 可接近性",9,9268,s:accessibilities
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",3,3642,
accession,"n. 到达, 即位, 增加, 同意, 发作, 正式接受 vt. 登记入册",9,7064,s:accessions/d:accessioned/p:accessioned/i:accessioning/3:accessions
accessorize,"vt. 附加, 补充\nvi. 穿戴装饰品",0,24493,d:accessorized
accessory,n.同谋，从犯；附件,4,11105,s:accessories
accident,n.意外的；事故,2,1338,s:accidents
accidental,a.偶然的；非本质的,4,5870,s:accidentals
accidentally,"adv. 偶然地, 意外地",9,6988,
acclaim,"n. 喝彩, 欢呼, 赞同\nv. 欢呼, 喝彩, 称赞",6,10150,d:acclaimed/p:acclaimed/i:acclaiming/s:acclaims/3:acclaims
acclaimed,a. 受到赞扬的,9,9242,0:acclaim/1:dp/d:acclaimed/p:acclaimed
acclimate,v. 使服水土; 使适应,8,25409,p:acclimated/i:acclimating/3:acclimates/d:acclimated
accolade,n. 推崇；赞扬,8,12852,s:accolades
accommodate,"vt.容纳;供应,供给",4,4087,d:accommodated/i:accommodating/3:accommodates/p:accommodated
accommodating,a. 乐于助人的,8,10980,0:accommodate/1:i/i:accommodating
accommodation,n.招待设备；预定铺位,3,1826,s:accommodations
accompaniment,"n. 伴随物, 附加物, 伴奏",9,8058,s:accompaniments
accompanist,n. 伴奏者,0,21135,s:accompanists
accompany,vt.陪伴，陪同；伴随,3,5341,d:accompanied/p:accompanied/i:accompanying/3:accompanies
accompanying,"a. 随同的, 附见的",9,4910,0:accompany/1:i/i:accompanying
accomplice,"n. 共犯,同谋",7,11851,s:accomplices
accomplish,vt.达到(目的)；完成,3,10309,d:accomplished/p:accomplished/i:accomplishing/3:accomplishes
accomplished,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的",9,5156,0:accomplish/1:dp/d:accomplished/p:accomplished
accomplishment,"n. 成就, 完成",9,13881,s:accomplishments
accord,vt.使一致；给予,4,4252,i:according/d:accorded/3:accords/s:accords/p:accorded
accordance,n.一致；和谐；授予,4,3107,
according,"a. 相符的, 根据...而定的 adv. 相应地",9,558,0:accord/1:i
according to,"根据, 按照；取决于；据…所说",6,25410,
accordingly,ad.因此，所以；照着,4,2913,
accordion,n. 手风琴 a. 可折叠的,9,15982,s:accordions
accost,"vt. 招呼,搭讪,勾引",7,22274,d:accosted/p:accosted/i:accosting/3:accosts
account,n.记述；解释；帐目,3,535,s:accounts/d:accounted/i:accounting/3:accounts/p:accounted
accountability,"n. 负有责任, 可说明性\n[化] 衡算计量",9,4414,s:accountabilities
accountable,"a. 负有责任的, 可说明的, 可解释的\n[经] 负有责任的",9,6238,
accountant,"n. 会计人员, 会计师\n[经] 会计师, 会计人员",3,5111,s:accountants
accounting,"n. 会计学, 帐单, 清帐\n[计] 帐户处理, 记帐",9,2096,0:account/1:i/i:accounting
accoutrement,"n. 装备, 配备",0,24076,s:accoutrements
accredit,"vt. 信托, 确认, 归结于, 委派 [经] 发行信用证, 委托",9,22658,d:accredited/i:accrediting/s:accredits/3:accredits/p:accredited
accreditation,"n. 委派, 信托, 鉴定合格",9,9678,s:accreditations
accredited,v. 认可（accredit的过去分词形式）,9,11251,0:accredit/1:dp/d:accredited/p:accredited
accrediting,n. 本金增值\nvt. 认可；相信；归功于（accredit的现在分词）,0,22275,0:accredit/1:i
accrete,v. 逐渐增长；添加生长；连生,8,23780,d:accreted/p:accreted/3:accretes/i:accreting
accretion,n. 自然的增加；增加物,8,14432,s:accretions
accrue,v. （利息等）增大；增多,8,11622,i:accruing/d:accrued/3:accrues/p:accrued
acculturate,vi. 适应新的文化习俗\nvt. 使适应新的文化习俗,0,25411,p:acculturated/d:acculturated/i:acculturating/3:acculturates
acculturation,"n. 文化互渗, 文化适应",9,23924,
accumulate,vt.积累 vi.堆积,3,8493,d:accumulated/i:accumulating/3:accumulates/p:accumulated
accumulated,a. 累计的；累积的；达到,9,5618,0:accumulate/1:dp/d:accumulated/p:accumulated
accumulation,"n. 积聚, 累积, 积聚物\n[医] 蓄积, 累积",9,5276,s:accumulations
accuracy,n.准确(性)；准确度,3,3573,s:accuracies
accurate,a.准确的，正确无误的,4,2501,
accurately,"adv. 正确地, 精确地",9,4010,
accursed,"a. 被咒的, 注定完蛋的, 讨厌的",0,20822,
accusation,"n. 控告, 指控, 指责\n[法] 控告, 起诉, 告发",9,7869,s:accusations
accusatory,"a. 控诉的, 指责的\n[法] 控诉的, 起诉的, 告发的",0,22401,
accuse,vt.指责；归咎于,3,8794,d:accused/p:accused/i:accusing/3:accuses
accused,n. 被告,9,1674,0:accuse/1:dp/d:accused/p:accused
accuser,"n. 原告, 指控人, 控告者",9,21238,s:accusers
accusing,"a. 指责的, 非难的",0,7027,0:accuse/1:i/i:accusing
accusingly,adv. 责难地,0,15796,
accustom,vt.使习惯,4,20587,d:accustomed/p:accustomed/3:accustoms/i:accustoming
accustomed,a.惯常的；习惯的,3,5277,d:accustomed/0:accustomed/1:dp/p:accustomed
ace,"n. 幺点, 好手, 少许, 发球得分\na. 一流的, 杰出的\n[计] 应答允许, 自适应计算机试验, 自动呼叫设备, 自动执行控制",9,3243,s:aces/i:acing/p:aced/3:aces/d:aced/f:aces
acerbic,a. 苦涩的；刻薄的,8,19235,
acerbity,n. 涩，酸，刻薄,8,23636,s:acerbities
acetaminophen,"n. 乙酰, 退热净, 氨基酚\n[化] 对乙酰氨基酚; 扑热息痛",0,25412,
acetate,n. 醋酸盐\n[化] 醋酸盐(或酯、根),0,12853,s:acetates
acetylcholine,n. 乙酰胆碱\n[化] 乙酰胆碱,0,16829,
ACH,[计] 自动化票证交换所\n[医] 肾上腺皮质激素,0,25027,s:aches/3:aches
ache,vi.痛；想念 n.疼痛,3,8003,p:ached/i:aching/d:ached/3:aches
achievable,"a. 做得成的, 可完成的, 可有成就的",9,11330,
achieve,vt.完成，实现；达到,3,1268,d:achieved/i:achieving/p:achieved/3:achieves
achievement,n.完成；成就/绩,3,2384,s:achievements
achiever,n. 获得成功的人,9,20919,s:achievers
aching,"a. 疼痛的, 使人痛苦的",9,7666,0:ache/1:i/i:aching
achingly,adv. 极其；痛惜地；非常痛地,0,19833,
achromatic,a. 非彩色的，无色的,8,24494,
acid,n.酸；酸的，酸性的,3,1577,s:acids
acidic,"a. 成酸的, 尖刻的, 酸性的",9,11852,
acidification,"n. 使发酸, 酸化, 成酸性\n[化] 酸化; 加酸",0,14386,
acidity,n. 酸性\n[化] 酸度; 酸性; 酸性反应,9,9804,s:acidities
acknowledge,v. 1. 承认 2. 告知收到(信件、礼物等) 3. 表示感谢,3,3925,p:acknowledged/d:acknowledged/3:acknowledges/i:acknowledging
acknowledged,a. 公认的,9,3125,0:acknowledge/1:pd/d:acknowledged/p:acknowledged
acknowledgement,"n. 承认, 确认, 感谢, 收到的通知\n[计] 确认; 肯定",9,6923,s:acknowledgements
acknowledgment,"n. 承认, 认可, 答谢, 谢礼, 收到的通知, 收到的回音 [计] 肯定, 确认认可",9,15728,s:acknowledgments
acme,n. 顶点，极点,8,19236,s:acmes
acne,"n.  痤疮, 粉刺",9,13631,
acolyte,n. （教士的）助手，侍僧,8,22049,s:acolytes
acorn,n. 橡子，橡果,8,10638,s:acorns
acoustic,a. 非电声乐器的; 听觉的,7,5666,s:acoustics
acoustical,"a. 听觉的, 声学的",0,25413,
acquaint,v. 使认识，使了解,5,18148,d:acquainted/i:acquainting/p:acquainted/3:acquaints
acquaintance,n.认识;了解;熟人,3,6682,s:acquaintances
acquainted,a. 对某事物熟悉的；对某人认识的,8,9354,0:acquaint/1:dp
acquiesce,v. 勉强同意，默许,8,17742,d:acquiesced/p:acquiesced/i:acquiescing/3:acquiesces
acquiescence,"n. 默许, 默认",9,12426,
acquire,vt.取得；获得；学到,3,3204,d:acquired/p:acquired/i:acquiring/3:acquires
acquired,a. 后天习得的,8,1950,0:acquire/1:dp/p:acquired/d:acquired
acquisition,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",3,2654,s:acquisitions
acquisitive,"a. 想获得的,贪得的",7,17604,
acquit,"vt. 开释,释放,完成,表现",7,18614,d:acquitted/p:acquitted/i:acquitting/s:acquits/3:acquits
acquittal,n. 宣告无罪，开释,8,14275,s:acquittals
acre,n.英亩(=6.07 亩),3,5379,s:acres
acreage,"n. 英亩数, 土地面积",9,14900,s:acreages
acrid,"a. 苦味的,辛辣的,尖刻的",7,14690,
acrimonious,"a. 严厉的,辛辣的,刻毒的",7,13714,
acrimony,"n. 严厉,辛辣,刻毒",7,16898,
acrobat,n. 特技演员，杂技演员,6,20588,s:acrobats/3:acrobats
acrobatic,"a. 杂技演员的, 杂技的",0,19237,s:acrobatics
acrobatics,"n. 杂技, 杂技表演",0,19834,0:acrobatic/1:s
acronym,n. 首字母缩略词,8,16113,s:acronyms/p:acronymed
acrophobia,n. 恐高症,8,24842,
acropolis,n. 古希腊的卫城,0,15493,
across,prep.横过；在…对面,2,350,
acrylic,a. 丙烯酸的,9,9469,s:acrylics
act,vi.行动；见效 n.行为,2,292,i:acting/s:acts/p:acted/d:acted/3:acts
actin,n. 肌动蛋白\n[化] 肌动蛋白,0,15558,
acting,"n. 演戏, 装腔作势\na. 代理的, 演出用的, 起作用的",9,1651,0:act/1:i/i:acting/s:actings
action,n.行动；作用；功能,2,397,s:actions/i:actioning/p:actioned/3:actions/f:actions
actionable,a. 可提起诉讼的\n[经] 能起诉的,0,16183,
activate,v. 1. 使活动，使活跃，使积极 2. 刺激，激化,5,9191,d:activated/i:activating/3:activates/p:activated
activated,a. 活性化的；活泼的,0,5723,0:activate/1:dp/d:activated/p:activated
activation,"n. 活化, 激活",9,6824,
active,a.活跃的；积极的,2,1160,s:actives
actively,"adv. 活跃地, 积极地",9,3858,
activism,"n. 激进主义, 行动主义, 能动论",9,14691,
activist,n. 激进主义分子,9,9020,s:activists
activity,n.活动；活力；行动,2,748,s:activities
actor,n.男演员；演剧的人,3,3132,s:actors
actress,n.女演员,3,4736,s:actresses
actual,a.实际的；现行的,3,1256,s:actuals
actuality,"n. 事实, 现实, 现状",9,12924,s:actualities
actualize,"vt. 实行, 使现实化",0,23637,d:actualized/i:actualizing/p:actualized/3:actualizes
actually,ad.实际上；竟然,4,328,
actuarial,a. （保险）精算的，保险计算的,8,11331,
actuary,n. 保险计算员\n[医] 保险统计员,0,14525,s:actuaries
actuate,v. 驱使，激励,8,24077,d:actuated/3:actuates/i:actuating/p:actuated
actuator,"n. 开动者, 激励者, 传动装置, 驱动器",9,25414,s:actuators
acuity,n. （尤指思想或感官）敏锐,8,18237,s:acuities
acumen,"n. 敏锐,聪明",7,14837,
acupuncture,"n. 针刺, 针刺疗法\nvt. 施以针灸",9,11853,
acupuncturist,n. 针灸医生,0,22659,s:acupuncturists
acute,a.尖的，锐的；敏锐的,4,2897,s:acutes/t:acutest
acutely,"adv. 尖锐地, 剧烈地",9,8141,
ad,n.广告,3,2355,s:ads
adage,"n. 格言,谚语",7,14648,s:adages
adamant,a. 强硬的；固执的,8,8438,
adamantly,adv. 坚硬无比地; 坚强地; 固执地; 不动摇地,9,18058,
adapt,vt.使适应；改编,3,4940,d:adapted/i:adapting/p:adapted/3:adapts
adaptability,n. 适应性,9,12982,
adaptable,"a. 能适应的,可修改的",7,10689,
adaptation,"n. 适应, 改编, 改编本\n[医] 适应[作用]",3,5647,s:adaptations
adapted,a. 适合的,0,3826,0:adapt/1:dp/d:adapted/p:adapted
adapter,"n. 适应者, 改编者; 适配器, 适配卡",9,17811,s:adapters
adaptive,"a. 适应的, 能适应的",9,9041,
add,vt.添加，附加，掺加,3,1036,p:added/d:added/i:adding/3:adds
added,a. 额外的; 更多的,9,573,0:add/1:pd/d:added/p:added
addendum,n. 补充，附录,8,16114,s:addendums
adder,"n. 蝰蛇, 猪鼻蛇, 加法器\n[计] 加法器",0,17380,s:adders
addict,n. 1. 有瘾的人 2. 对某事有强烈兴趣的人,5,11744,d:addicted/s:addicts/i:addicting/p:addicted/3:addicts
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的\n[法] 嗜, 好, 惯于",3,9694,1:dp/0:addict/d:addicted
addiction,"n. 入迷, 瘾\n[医] 瘾, 癖嗜",9,6686,s:addictions
addictive,a. 上瘾的,9,6710,
adding,[计] 加法的,0,2347,0:add/1:i/i:adding
addition,n.加，加法；附加物,3,880,s:additions
additional,a.附加的，追加的,4,1174,
additionally,"adv. 另外, 此外",9,6797,
additive,a. 添加的; 加法的 n. 添加剂,7,12821,s:additives
addle,v. 使腐坏; 使昏乱,8,24843,d:addled/3:addles/p:addled/i:addling
addled,a. 头脑混乱的；腐坏的,0,20589,d:addled/0:addled/1:d
address,n.地址；演说；谈吐,3,1226,d:addressed/i:addressing/s:addresses/p:addressed/3:addresses
addressee,"n. 收件人, 收信人\n[经] 台头人, 收信人",0,12076,s:addressees
adduce,v. 给予（理由）; 举出（例证）,8,18767,d:adduced/3:adduces/p:adduced/i:adducing
adenocarcinoma,n. 腺癌\n[医] 腺癌,0,14838,s:adenocarcinomas
adenoma,n. 腺瘤\n[医] 腺瘤,0,17381,s:adenomas
adept,"a. 熟练的,老练的 n. 名手,专家",7,10112,s:adepts
adequacy,"n. 适当, 足够",9,9805,s:adequacies
adequate,a.足够的；可以胜任的,3,2170,
adequately,"adv. 足够地, 适当地",9,4600,
adhd,abbr. 注意力不集中症（ attention deficit hyperactivity disorder ）,9,25415,
adhere,v. 1. 粘附， 粘着 2. 坚持，遵循,5,8960,d:adhered/i:adhering/p:adhered/3:adheres
adherence,"n. 依附, 固执, 坚持\n[化] 粘合",9,8376,
adherent,"a. 附着的,固守的 n. 党徒",7,16245,s:adherents
adhesion,"n. 附着, 粘着, 支持, 追随\n[化] 粘合; 粘附; 附着; 粘合力; 粘附力; 附着力",9,8908,s:adhesions
adhesive,"a. 粘着的,有粘性的 n. 粘合剂",7,8661,s:adhesives
adieu,"interj. 再见, 再会\nn. 告别, 辞别",0,20053,
ADIOS,"[计] 模数输入输出系统, 自动诊断输入输出系统",0,23273,0:adios
adjacent,adj. 邻近的,5,3662,
adjective,n.形容词 a.形容词的,4,7265,s:adjectives
adjoin,v. 贴近，相接,5,22660,i:adjoining/3:adjoins/p:adjoined/d:adjoined
adjoining,"a. 邻接的, 毗连的\n[机] 联接",9,5976,0:adjoin/i:adjoining/3:adjoins
adjourn,"vi. 延期,休会,换地方 vt. 使中止",7,13882,d:adjourned/p:adjourned/i:adjourning/s:adjourns/3:adjourns
adjudicate,v. 充当裁判; 判决,8,17979,d:adjudicated/i:adjudicating/p:adjudicated/3:adjudicates/s:adjudicates
adjudication,"n. 判决, 裁定, 宣告\n[经] 判决, 裁决",9,9695,s:adjudications
adjudicator,"n. 评判员\n[法] 审判者, 判决者, 裁定者",0,14433,s:adjudicators
adjunct,n. 附加物，附件,7,12925,s:adjuncts
adjust,vt.调整，调节；校正,3,4728,d:adjusted/i:adjusting/p:adjusted/3:adjusts
adjustable,a. 可调节的,9,8345,s:adjustables
adjusted,a. 调整过的\n[机] 调节了的,9,4494,0:adjust/1:dp/d:adjusted
adjuster,"n. 调整员, 调停者, 调节器\n[化] 调节器; 校正器",9,19744,s:adjusters
adjustment,"n. 调整, 调节, 校正\n[化] 调节",3,3986,s:adjustments
adjutant,"n. 助手, 副官\na. 辅助的",0,12624,s:adjutants
adjuvant,"a. 辅助的\nn. 佐药, 助手",0,20054,
adlib,v. 临时讲话，即兴表演,8,20255,i:adlibbing
ADMIN,[计] 行政管理程序,0,13011,s:admins
administer,"vt. 管理, 料理, 执行\nvi. 执行遗产管理人的职责, 给予帮助",6,7005,d:administered/i:administering/3:administers/p:administered
administered,v. 管理( administer的过去式和过去分词 ); 治理（国家）; 给予; 执行,0,4887,0:administer/1:dp/d:administered/p:administered
administrate,"vt. 管理, 支配",6,25416,i:administrating/3:administrates/d:administrated/s:administrates/p:administrated
administration,n.管理；管理部门,3,1293,s:administrations
